Timepoint Replicate Haplotype Freq
14 2 1111 1e-04
21 1 0000 0.110799670239077
21 1 0001 0.00164880461665293
21 1 0010 0.000824402308326463
21 1 0011 0.0872217642209398
21 1 0100 0.719703215169002
21 1 0101 0.00428689200329761
21 1 0110 0.000329760923330585
21 1 0111 0.0443528441879637
21 1 1000 0.0159934047815334
21 1 1001 0.000164880461665293
21 1 1010 1e-04
21 1 1011 0.00494641384995878
21 1 1100 0.00972794723825227
21 1 1101 1e-04
21 1 1111 1e-04
21 2 0000 0.114969562811289
21 2 0001 0.00262866629773105
21 2 0010 0.00138350857775318
21 2 0011 0.0769230769230769
21 2 0100 0.725926950747095
21 2 0101 0.00442722744881018
21 2 0110 1e-04
21 2 0111 0.0437188710570006
21 2 1000 0.0153569452130603
21 2 1001 0.000138350857775318
21 2 1010 1e-04
21 2 1011 0.00415052573325955
21 2 1100 0.0103763143331489
21 2 1101 1e-04
21 2 1111 1e-04
28 1 0000 0.175358817677988
28 1 0001 0.00127895409975842
28 1 0010 0.00213159016626403
28 1 0011 0.317038510729004
28 1 0100 0.0505897399459997
28 1 0101 0.000852636066505613
28 1 0110 1e-04
28 1 0111 0.0117947989199943
28 1 1000 0.206337928094358
28 1 1001 0.00767372459855052
28 1 1010 0.000710530055421344
28 1 1011 0.2177064089811
28 1 1100 0.00824214864288759
28 1 1101 0.000142106011084269
28 1 1111 0.000142106011084269
28 2 0000 0.164632204649188
28 2 0001 0.00169833351024307
28 2 0010 0.00201677104341365
28 2 0011 0.317906803948625
28 2 0100 0.0667657361214308
28 2 0101 0.00116760428829211
28 2 0110 1e-04
28 2 0111 0.0162403141916994
28 2 1000 0.217705126844284
28 2 1001 0.00700562572975268
28 2 1010 0.000106145844390192
28 2 1011 0.19350387432332
28 2 1100 0.0109330219721898
28 2 1101 1e-04
28 2 1111 0.000318437533170576
56 1 0000 0.0890506427133344
56 1 0001 0.00108409478085798
56 1 0010 0.00340715502555366
56 1 0011 0.281864643023076
56 1 0100 0.47297506582004
56 1 0101 0.00743379278302617
56 1 0110 0.000309741365959424
56 1 0111 0.143100511073254
56 1 1000 0.000154870682979712
56 1 1001 1e-04
56 1 1010 1e-04
56 1 1011 1e-04
56 1 1100 0.000309741365959424
56 1 1101 1e-04
56 1 1111 0.000309741365959424
56 2 0000 0.078993490235353
56 2 0001 0.000375563345017526
56 2 0010 0.00225338007010516
56 2 0011 0.28042063094642
56 2 0100 0.513645468202304
56 2 0101 0.00550826239359039
56 2 0110 0.000125187781672509
56 2 0111 0.117926890335503
56 2 1000 1e-04
56 2 1001 1e-04
56 2 1010 1e-04
56 2 1011 1e-04
56 2 1100 0.000500751126690035
56 2 1101 1e-04
56 2 1111 0.000250375563345017
62 1 0000 0.00134975535684157
62 1 0001 1e-04
62 1 0010 0.000168719419605197
62 1 0011 0.000337438839210393
62 1 0100 0.99578201450987
62 1 0101 0.00050615825881559
62 1 0110 0.000168719419605197
62 1 0111 1e-04
62 1 1000 1e-04
62 1 1001 1e-04
62 1 1010 1e-04
62 1 1011 1e-04
62 1 1100 0.00168719419605197
62 1 1101 1e-04
62 1 1111 1e-04
62 2 0000 0.00245829675153644
62 2 0001 1e-04
62 2 0010 1e-04
62 2 0011 0.000526777875329236
62 2 0100 0.994907813871817
62 2 0101 0.00122914837576822
62 2 0110 1e-04
62 2 0111 1e-04
62 2 1000 1e-04
62 2 1001 1e-04
62 2 1010 1e-04
