81_2005	A/California/NHRC0003/2005	>A/California/NHRC0003/2005|319056|A/H3N2||2005.814|HA|P0	P0
82_2005	A/California/NHRC0004/2005	>A/California/NHRC0004/2005|319064|A/H3N2||2005.836|HA|P0	P0
83_2005	A/California/NHRC0005/2005	>A/California/NHRC0005/2005|319072|A/H3N2||2005.910|HA|P0	P0
84_2005	A/California/NHRC0006/2005	>A/California/NHRC0006/2005|319080|A/H3N2||2005.918|HA|P0	P0
85_2005	A/California/NHRC0007/2005	>A/California/NHRC0007/2005|319088|A/H3N2||2005.871|HA|P0	P0
86_2005	A/California/NHRC0008/2005	>A/California/NHRC0008/2005|319096|A/H3N2||2005.926|HA|P0	P0
87_2005	A/California/NHRC0009/2005	>A/California/NHRC0009/2005|319104|A/H3N2||2005.101|HA|P0	P0
88_2004	A/Missouri/NHRC0002/2004	>A/Missouri/NHRC0002/2004|320281|A/H3N2||2004.022|HA|P0	P0
89_2007	A/California/NHRC0001/2007	>A/California/NHRC0001/2007|320325|A/H3N2||2007.211|HA|P0	P0
90_2007	A/California/NHRC0002/2007	>A/California/NHRC0002/2007|320333|A/H3N2||2007.326|HA|P0	P0
91_2005	A/California/NHRC0010/2005	>A/California/NHRC0010/2005|320365|A/H3N2||2005.104|HA|P0	P0
92_2004	A/Illinois/NHRC0001/2004	>A/Illinois/NHRC0001/2004|320557|A/H3N2||2004.052|HA|P0	P0
