OverlapSimulated Frequency Gene GeneLength SiteProportion NumSimulations OverlapEmpirical pvalue
2 2650 4-HA 567 1 10000 9 0.000299999999999967
3 2408 4-HA 567 1 10000 9 0.000299999999999967
4 1589 4-HA 567 1 10000 9 0.000299999999999967
5 728 4-HA 567 1 10000 9 0.000299999999999967
6 267 4-HA 567 1 10000 9 0.000299999999999967
7 79 4-HA 567 1 10000 9 0.000299999999999967
8 15 4-HA 567 1 10000 9 0.000299999999999967
9 2 4-HA 567 1 10000 9 0.000299999999999967
11 1 4-HA 567 1 10000 9 0.000299999999999967
13 22 6-NA 470 0.15 10000 4 1
14 378 6-NA 470 0.15 10000 4 1
15 2090 6-NA 470 0.15 10000 4 1
16 4269 6-NA 470 0.15 10000 4 1
17 3241 6-NA 470 0.15 10000 4 1
6 3 6-NA 470 0.2 10000 4 1
7 28 6-NA 470 0.2 10000 4 1
8 149 6-NA 470 0.2 10000 4 1
9 469 6-NA 470 0.2 10000 4 1
10 1066 6-NA 470 0.2 10000 4 1
11 1869 6-NA 470 0.2 10000 4 1
12 2307 6-NA 470 0.2 10000 4 1
13 2030 6-NA 470 0.2 10000 4 1
14 1337 6-NA 470 0.2 10000 4 1
15 579 6-NA 470 0.2 10000 4 1
16 143 6-NA 470 0.2 10000 4 1
17 20 6-NA 470 0.2 10000 4 1
3 3 6-NA 470 0.25 10000 4 0.9997
4 27 6-NA 470 0.25 10000 4 0.9997
5 91 6-NA 470 0.25 10000 4 0.9997
6 333 6-NA 470 0.25 10000 4 0.9997
7 826 6-NA 470 0.25 10000 4 0.9997
8 1449 6-NA 470 0.25 10000 4 0.9997
9 1923 6-NA 470 0.25 10000 4 0.9997
10 2044 6-NA 470 0.25 10000 4 0.9997
11 1696 6-NA 470 0.25 10000 4 0.9997
12 977 6-NA 470 0.25 10000 4 0.9997
13 449 6-NA 470 0.25 10000 4 0.9997
14 150 6-NA 470 0.25 10000 4 0.9997
15 30 6-NA 470 0.25 10000 4 0.9997
16 2 6-NA 470 0.25 10000 4 0.9997
1 2 6-NA 470 0.3 10000 4 0.9933
2 9 6-NA 470 0.3 10000 4 0.9933
3 56 6-NA 470 0.3 10000 4 0.9933
4 220 6-NA 470 0.3 10000 4 0.9933
5 607 6-NA 470 0.3 10000 4 0.9933
6 1137 6-NA 470 0.3 10000 4 0.9933
7 1759 6-NA 470 0.3 10000 4 0.9933
8 2017 6-NA 470 0.3 10000 4 0.9933
9 1805 6-NA 470 0.3 10000 4 0.9933
10 1318 6-NA 470 0.3 10000 4 0.9933
11 706 6-NA 470 0.3 10000 4 0.9933
12 278 6-NA 470 0.3 10000 4 0.9933
13 70 6-NA 470 0.3 10000 4 0.9933
14 14 6-NA 470 0.3 10000 4 0.9933
15 2 6-NA 470 0.3 10000 4 0.9933
0 1 6-NA 470 0.35 10000 4 0.9658
1 7 6-NA 470 0.35 10000 4 0.9658
2 67 6-NA 470 0.35 10000 4 0.9658
3 267 6-NA 470 0.35 10000 4 0.9658
4 666 6-NA 470 0.35 10000 4 0.9658
5 1304 6-NA 470 0.35 10000 4 0.9658
6 1928 6-NA 470 0.35 10000 4 0.9658
7 2026 6-NA 470 0.35 10000 4 0.9658
8 1714 6-NA 470 0.35 10000 4 0.9658
9 1131 6-NA 470 0.35 10000 4 0.9658
10 585 6-NA 470 0.35 10000 4 0.9658
11 228 6-NA 470 0.35 10000 4 0.9658
12 55 6-NA 470 0.35 10000 4 0.9658
13 19 6-NA 470 0.35 10000 4 0.9658
14 2 6-NA 470 0.35 10000 4 0.9658
0 4 6-NA 470 0.4 10000 4 0.9174
1 41 6-NA 470 0.4 10000 4 0.9174
2 191 6-NA 470 0.4 10000 4 0.9174
3 590 6-NA 470 0.4 10000 4 0.9174
4 1239 6-NA 470 0.4 10000 4 0.9174
5 1848 6-NA 470 0.4 10000 4 0.9174
6 2116 6-NA 470 0.4 10000 4 0.9174
7 1772 6-NA 470 0.4 10000 4 0.9174
8 1254 6-NA 470 0.4 10000 4 0.9174
9 580 6-NA 470 0.4 10000 4 0.9174
10 260 6-NA 470 0.4 10000 4 0.9174
11 75 6-NA 470 0.4 10000 4 0.9174
12 25 6-NA 470 0.4 10000 4 0.9174
13 5 6-NA 470 0.4 10000 4 0.9174
0 14 6-NA 470 0.45 10000 4 0.8492
1 104 6-NA 470 0.45 10000 4 0.8492
2 410 6-NA 470 0.45 10000 4 0.8492
3 980 6-NA 470 0.45 10000 4 0.8492
4 1734 6-NA 470 0.45 10000 4 0.8492
5 2186 6-NA 470 0.45 10000 4 0.8492
6 1962 6-NA 470 0.45 10000 4 0.8492
7 1341 6-NA 470 0.45 10000 4 0.8492
8 773 6-NA 470 0.45 10000 4 0.8492
9 347 6-NA 470 0.45 10000 4 0.8492
10 112 6-NA 470 0.45 10000 4 0.8492
11 27 6-NA 470 0.45 10000 4 0.8492
12 7 6-NA 470 0.45 10000 4 0.8492
13 2 6-NA 470 0.45 10000 4 0.8492
14 1 6-NA 470 0.45 10000 4 0.8492
0 26 6-NA 470 0.5 10000 4 0.774
1 190 6-NA 470 0.5 10000 4 0.774
2 677 6-NA 470 0.5 10000 4 0.774
3 1367 6-NA 470 0.5 10000 4 0.774
4 2029 6-NA 470 0.5 10000 4 0.774
5 2218 6-NA 470 0.5 10000 4 0.774
6 1685 6-NA 470 0.5 10000 4 0.774
7 1038 6-NA 470 0.5 10000 4 0.774
8 502 6-NA 470 0.5 10000 4 0.774
9 200 6-NA 470 0.5 10000 4 0.774
10 57 6-NA 470 0.5 10000 4 0.774
11 9 6-NA 470 0.5 10000 4 0.774
12 2 6-NA 470 0.5 10000 4 0.774
0 59 6-NA 470 0.55 10000 4 0.6937
1 307 6-NA 470 0.55 10000 4 0.6937
2 933 6-NA 470 0.55 10000 4 0.6937
3 1764 6-NA 470 0.55 10000 4 0.6937
4 2252 6-NA 470 0.55 10000 4 0.6937
5 2065 6-NA 470 0.55 10000 4 0.6937
6 1411 6-NA 470 0.55 10000 4 0.6937
7 782 6-NA 470 0.55 10000 4 0.6937
8 291 6-NA 470 0.55 10000 4 0.6937
9 100 6-NA 470 0.55 10000 4 0.6937
10 27 6-NA 470 0.55 10000 4 0.6937
11 8 6-NA 470 0.55 10000 4 0.6937
13 1 6-NA 470 0.55 10000 4 0.6937
0 85 6-NA 470 0.6 10000 4 0.6106
1 502 6-NA 470 0.6 10000 4 0.6106
