Gene NumSitesTotal NumUniqueData NumUniqueSimulated Frequency GeneLength SiteProportion NumSimulations pvalue
6-NA 20 17 19 15754 470 0.1 100000 0.51758
6-NA 20 17 20 3373 470 0.1 100000 0.51758
6-NA 20 17 12 1 470 0.15 100000 0.24133
6-NA 20 17 13 14 470 0.15 100000 0.24133
6-NA 20 17 14 114 470 0.15 100000 0.24133
6-NA 20 17 15 1098 470 0.15 100000 0.24133
6-NA 20 17 16 5579 470 0.15 100000 0.24133
6-NA 20 17 17 17327 470 0.15 100000 0.24133
6-NA 20 17 18 32088 470 0.15 100000 0.24133
6-NA 20 17 19 31240 470 0.15 100000 0.24133
6-NA 20 17 20 12539 470 0.15 100000 0.24133
6-NA 20 17 13 2 470 0.2 100000 0.12985
6-NA 20 17 14 18 470 0.2 100000 0.12985
6-NA 20 17 15 342 470 0.2 100000 0.12985
6-NA 20 17 16 2333 470 0.2 100000 0.12985
6-NA 20 17 17 10290 470 0.2 100000 0.12985
6-NA 20 17 18 27053 470 0.2 100000 0.12985
6-NA 20 17 19 37727 470 0.2 100000 0.12985
6-NA 20 17 20 22235 470 0.2 100000 0.12985
6-NA 20 17 14 7 470 0.25 100000 0.0738
6-NA 20 17 15 120 470 0.25 100000 0.0738
6-NA 20 17 16 1044 470 0.25 100000 0.0738
6-NA 20 17 17 6209 470 0.25 100000 0.0738
6-NA 20 17 18 21792 470 0.25 100000 0.0738
6-NA 20 17 19 40152 470 0.25 100000 0.0738
6-NA 20 17 20 30676 470 0.25 100000 0.0738
6-NA 20 17 14 5 470 0.3 100000 0.04757
6-NA 20 17 15 43 470 0.3 100000 0.04757
6-NA 20 17 16 591 470 0.3 100000 0.04757
6-NA 20 17 17 4118 470 0.3 100000 0.04757
6-NA 20 17 18 17659 470 0.3 100000 0.04757
6-NA 20 17 19 40050 470 0.3 100000 0.04757
6-NA 20 17 20 37534 470 0.3 100000 0.04757
6-NA 20 17 14 1 470 0.35 100000 0.0316
6-NA 20 17 15 21 470 0.35 100000 0.0316
6-NA 20 17 16 318 470 0.35 100000 0.0316
6-NA 20 17 17 2820 470 0.35 100000 0.0316
6-NA 20 17 18 14213 470 0.35 100000 0.0316
6-NA 20 17 19 38975 470 0.35 100000 0.0316
6-NA 20 17 20 43652 470 0.35 100000 0.0316
6-NA 20 17 15 15 470 0.4 100000 0.02259
6-NA 20 17 16 228 470 0.4 100000 0.02259
6-NA 20 17 17 2016 470 0.4 100000 0.02259
6-NA 20 17 18 11717 470 0.4 100000 0.02259
6-NA 20 17 19 37245 470 0.4 100000 0.02259
6-NA 20 17 20 48779 470 0.4 100000 0.02259
6-NA 20 17 15 8 470 0.45 100000 0.01535
6-NA 20 17 16 111 470 0.45 100000 0.01535
6-NA 20 17 17 1416 470 0.45 100000 0.01535
6-NA 20 17 18 9811 470 0.45 100000 0.01535
6-NA 20 17 19 35722 470 0.45 100000 0.01535
6-NA 20 17 20 52932 470 0.45 100000 0.01535
6-NA 20 17 15 7 470 0.5 100000 0.01181
6-NA 20 17 16 75 470 0.5 100000 0.01181
6-NA 20 17 17 1099 470 0.5 100000 0.01181
6-NA 20 17 18 8320 470 0.5 100000 0.01181
6-NA 20 17 19 33857 470 0.5 100000 0.01181
6-NA 20 17 20 56642 470 0.5 100000 0.01181
6-NA 20 17 15 3 470 0.55 100000 0.00963999999999998
6-NA 20 17 16 71 470 0.55 100000 0.00963999999999998
6-NA 20 17 17 890 470 0.55 100000 0.00963999999999998
6-NA 20 17 18 7272 470 0.55 100000 0.00963999999999998
6-NA 20 17 19 32545 470 0.55 100000 0.00963999999999998
6-NA 20 17 20 59219 470 0.55 100000 0.00963999999999998
6-NA 20 17 15 2 470 0.6 100000 0.00768999999999997
6-NA 20 17 16 50 470 0.6 100000 0.00768999999999997
6-NA 20 17 17 717 470 0.6 100000 0.00768999999999997
6-NA 20 17 18 6158 470 0.6 100000 0.00768999999999997
6-NA 20 17 19 30660 470 0.6 100000 0.00768999999999997
6-NA 20 17 20 62413 470 0.6 100000 0.00768999999999997
6-NA 20 17 15 2 470 0.65 100000 0.00558000000000003
6-NA 20 17 16 26 470 0.65 100000 0.00558000000000003
6-NA 20 17 17 530 470 0.65 100000 0.00558000000000003
6-NA 20 17 18 5490 470 0.65 100000 0.00558000000000003
6-NA 20 17 19 29215 470 0.65 100000 0.00558000000000003
6-NA 20 17 20 64737 470 0.65 100000 0.00558000000000003
6-NA 20 17 15 3 470 0.7 100000 0.00495999999999996
6-NA 20 17 16 33 470 0.7 100000 0.00495999999999996
6-NA 20 17 17 460 470 0.7 100000 0.00495999999999996
6-NA 20 17 18 4758 470 0.7 100000 0.00495999999999996
6-NA 20 17 19 27944 470 0.7 100000 0.00495999999999996
6-NA 20 17 20 66802 470 0.7 100000 0.00495999999999996
6-NA 20 17 16 21 470 0.75 100000 0.00407000000000002
6-NA 20 17 17 386 470 0.75 100000 0.00407000000000002
6-NA 20 17 18 4167 470 0.75 100000 0.00407000000000002
6-NA 20 17 19 26669 470 0.75 100000 0.00407000000000002
6-NA 20 17 20 68757 470 0.75 100000 0.00407000000000002
6-NA 20 17 15 1 470 0.8 100000 0.00339
6-NA 20 17 16 16 470 0.8 100000 0.00339
6-NA 20 17 17 322 470 0.8 100000 0.00339
6-NA 20 17 18 3858 470 0.8 100000 0.00339
6-NA 20 17 19 25526 470 0.8 100000 0.00339
6-NA 20 17 20 70277 470 0.8 100000 0.00339
6-NA 20 17 16 17 470 0.85 100000 0.00265000000000004
6-NA 20 17 17 248 470 0.85 100000 0.00265000000000004
6-NA 20 17 18 3509 470 0.85 100000 0.00265000000000004
6-NA 20 17 19 24215 470 0.85 100000 0.00265000000000004
6-NA 20 17 20 72011 470 0.85 100000 0.00265000000000004
6-NA 20 17 16 7 470 0.9 100000 0.00231000000000003
6-NA 20 17 17 224 470 0.9 100000 0.00231000000000003
6-NA 20 17 18 3169 470 0.9 100000 0.00231000000000003
6-NA 20 17 19 23321 470 0.9 100000 0.00231000000000003
6-NA 20 17 20 73279 470 0.9 100000 0.00231000000000003
6-NA 20 17 16 11 470 0.95 100000 0.00195999999999996
6-NA 20 17 17 185 470 0.95 100000 0.00195999999999996
6-NA 20 17 18 2750 470 0.95 100000 0.00195999999999996
6-NA 20 17 19 22609 470 0.95 100000 0.00195999999999996
6-NA 20 17 20 74445 470 0.95 100000 0.00195999999999996
6-NA 20 17 16 7 470 1 100000 0.00190999999999997
6-NA 20 17 17 184 470 1 100000 0.00190999999999997
6-NA 20 17 18 2540 470 1 100000 0.00190999999999997
6-NA 20 17 19 21710 470 1 100000 0.00190999999999997
6-NA 20 17 20 75559 470 1 100000 0.00190999999999997
8-NEP 6 5 3 6029 142 0.05 100000 0.91845
8-NEP 6 5 4 41197 142 0.05 100000 0.91845
8-NEP 6 5 5 44619 142 0.05 100000 0.91845
8-NEP 6 5 6 8155 142 0.05 100000 0.91845
8-NEP 6 5 3 722 142 0.1 100000 0.61471
8-NEP 6 5 4 13103 142 0.1 100000 0.61471
8-NEP 6 5 5 47646 142 0.1 100000 0.61471
8-NEP 6 5 6 38529 142 0.1 100000 0.61471
8-NEP 6 5 3 208 142 0.15 100000 0.44373
8-NEP 6 5 4 6149 142 0.15 100000 0.44373
8-NEP 6 5 5 38016 142 0.15 100000 0.44373
8-NEP 6 5 6 55627 142 0.15 100000 0.44373
8-NEP 6 5 3 80 142 0.2 100000 0.34864
8-NEP 6 5 4 3422 142 0.2 100000 0.34864
8-NEP 6 5 5 31362 142 0.2 100000 0.34864
8-NEP 6 5 6 65136 142 0.2 100000 0.34864
8-NEP 6 5 3 35 142 0.25 100000 0.27746
8-NEP 6 5 4 2179 142 0.25 100000 0.27746
8-NEP 6 5 5 25532 142 0.25 100000 0.27746
8-NEP 6 5 6 72254 142 0.25 100000 0.27746
8-NEP 6 5 3 33 142 0.3 100000 0.2371
8-NEP 6 5 4 1551 142 0.3 100000 0.2371
8-NEP 6 5 5 22126 142 0.3 100000 0.2371
8-NEP 6 5 6 76290 142 0.3 100000 0.2371
8-NEP 6 5 3 10 142 0.35 100000 0.20753
8-NEP 6 5 4 1156 142 0.35 100000 0.20753
8-NEP 6 5 5 19587 142 0.35 100000 0.20753
8-NEP 6 5 6 79247 142 0.35 100000 0.20753
8-NEP 6 5 3 8 142 0.4 100000 0.18336
8-NEP 6 5 4 892 142 0.4 100000 0.18336
8-NEP 6 5 5 17436 142 0.4 100000 0.18336
8-NEP 6 5 6 81664 142 0.4 100000 0.18336
8-NEP 6 5 3 6 142 0.45 100000 0.16155
8-NEP 6 5 4 728 142 0.45 100000 0.16155
8-NEP 6 5 5 15421 142 0.45 100000 0.16155
8-NEP 6 5 6 83845 142 0.45 100000 0.16155
8-NEP 6 5 3 7 142 0.5 100000 0.14956
8-NEP 6 5 4 550 142 0.5 100000 0.14956
8-NEP 6 5 5 14399 142 0.5 100000 0.14956
8-NEP 6 5 6 85044 142 0.5 100000 0.14956
8-NEP 6 5 3 3 142 0.55 100000 0.13529
8-NEP 6 5 4 506 142 0.55 100000 0.13529
8-NEP 6 5 5 13020 142 0.55 100000 0.13529
8-NEP 6 5 6 86471 142 0.55 100000 0.13529
8-NEP 6 5 3 5 142 0.6 100000 0.12385
8-NEP 6 5 4 414 142 0.6 100000 0.12385
8-NEP 6 5 5 11966 142 0.6 100000 0.12385
8-NEP 6 5 6 87615 142 0.6 100000 0.12385
8-NEP 6 5 3 1 142 0.65 100000 0.11565
8-NEP 6 5 4 342 142 0.65 100000 0.11565
8-NEP 6 5 5 11222 142 0.65 100000 0.11565
8-NEP 6 5 6 88435 142 0.65 100000 0.11565
8-NEP 6 5 3 3 142 0.7 100000 0.10889
8-NEP 6 5 4 318 142 0.7 100000 0.10889
8-NEP 6 5 5 10568 142 0.7 100000 0.10889
8-NEP 6 5 6 89111 142 0.7 100000 0.10889
8-NEP 6 5 3 2 142 0.75 100000 0.09987
8-NEP 6 5 4 238 142 0.75 100000 0.09987
8-NEP 6 5 5 9747 142 0.75 100000 0.09987
8-NEP 6 5 6 90013 142 0.75 100000 0.09987
8-NEP 6 5 3 2 142 0.8 100000 0.0952
8-NEP 6 5 4 230 142 0.8 100000 0.0952
8-NEP 6 5 5 9288 142 0.8 100000 0.0952
8-NEP 6 5 6 90480 142 0.8 100000 0.0952
8-NEP 6 5 4 207 142 0.85 100000 0.08944
8-NEP 6 5 5 8737 142 0.85 100000 0.08944
8-NEP 6 5 6 91056 142 0.85 100000 0.08944
8-NEP 6 5 4 192 142 0.9 100000 0.08372
8-NEP 6 5 5 8180 142 0.9 100000 0.08372
8-NEP 6 5 6 91628 142 0.9 100000 0.08372
8-NEP 6 5 4 150 142 0.95 100000 0.07888
8-NEP 6 5 5 7738 142 0.95 100000 0.07888
8-NEP 6 5 6 92112 142 0.95 100000 0.07888
8-NEP 6 5 3 1 142 1 100000 0.07577
8-NEP 6 5 4 146 142 1 100000 0.07577
8-NEP 6 5 5 7430 142 1 100000 0.07577
8-NEP 6 5 6 92423 142 1 100000 0.07577
8-NS1 9 8 5 1869 231 0.05 100000 0.94615
8-NS1 9 8 6 18703 231 0.05 100000 0.94615
8-NS1 9 8 7 43393 231 0.05 100000 0.94615
8-NS1 9 8 8 30650 231 0.05 100000 0.94615
8-NS1 9 8 9 5385 231 0.05 100000 0.94615
8-NS1 9 8 5 143 231 0.1 100000 0.70042
8-NS1 9 8 6 3088 231 0.1 100000 0.70042
8-NS1 9 8 7 20648 231 0.1 100000 0.70042
